# 中兴通讯 提交列表（纯文本视图）
# 共 354 个提交
# 生成时间: 2026-05-19 22:52:14
#
# 格式: 提交哈希 | 日期 | 原始作者 | 标题
------------------------------------------------------------------------------------------------------------------------
0d61cc41 | 2025-06-02 | Cyril Bur | riscv: uaccess: Only restore the CSR_STATUS SUM bit
b18ee1aa | 2025-09-03 | Alexandre Ghiti | riscv: Fix sparse warning in __get_user_error()
0fcaa7b1 | 2025-06-10 | Palmer Dabbelt | RISC-V: uaccess: Wrap the get_user_8 uaccess macro
7d1e89e6 | 2025-07-25 | Aurelien Jarno | riscv: uaccess: fix __put_user_nocheck for unaligned accesses
ebff58ec | 2025-07-15 | Nathan Chancellor | riscv: uaccess: Fix -Wuninitialized and -Wshadow in __put_user_nocheck
37b33f86 | 2025-09-03 | Alexandre Ghiti | riscv: Fix sparse warning about different address spaces
cb2a9c3d | 2025-08-05 | Radim Krčmář | RISC-V: KVM: fix stack overrun when loading vlenb
7594581c | 2023-12-05 | Daniel Henrique Barboza | RISC-V: KVM: add 'vlenb' Vector CSR
8485afb4 | 2023-12-05 | Daniel Henrique Barboza | RISC-V: KVM: set 'vlenb' in kvm_riscv_vcpu_alloc_vector_context()
f62dc7fb | 2024-10-21 | Anup Patel | RISC-V: KVM: Use NACL HFENCEs for KVM request based HFENCEs
c8034db8 | 2024-10-21 | Anup Patel | RISC-V: KVM: Save trap CSRs in kvm_riscv_vcpu_enter_exit()
8f54dc9a | 2024-10-21 | Anup Patel | RISC-V: KVM: Use SBI sync SRET call when available
3789f069 | 2024-10-21 | Anup Patel | RISC-V: KVM: Use nacl_csr_xyz() for accessing AIA CSRs
b71f61e9 | 2024-10-21 | Anup Patel | RISC-V: KVM: Use nacl_csr_xyz() for accessing H-extension CSRs
565dc78d | 2024-10-21 | Anup Patel | RISC-V: KVM: Add common nested acceleration support
0389c882 | 2024-10-21 | Anup Patel | RISC-V: Add defines for the SBI nested acceleration extension
15596fc5 | 2024-10-21 | Anup Patel | RISC-V: KVM: Don't setup SGEI for zero guest external interrupts
d68ba0cc | 2024-10-21 | Anup Patel | RISC-V: KVM: Replace aia_set_hvictl() with aia_hvictl_value()
ac541553 | 2024-10-21 | Anup Patel | RISC-V: KVM: Break down the __kvm_riscv_switch_to() into macros
a9cc9857 | 2024-10-21 | Anup Patel | RISC-V: KVM: Save/restore SCOUNTEREN in C source
e8f9dd70 | 2024-10-21 | Anup Patel | RISC-V: KVM: Save/restore HSTATUS in C source
dd9fea00 | 2024-10-21 | Anup Patel | RISC-V: KVM: Order the object files alphabetically
6f2a0f2a | 2024-07-08 | Jinjie Ruan | riscv: stacktrace: Add USER_STACKTRACE support
2028fcb2 | 2023-10-24 | Clément Léger | riscv: kvm: use ".L" local labels in assembly when applicable
c0e6d0ce | 2023-10-24 | Clément Léger | riscv: kvm: Use SYM_*() assembly macros instead of deprecated ones
933e4a9c | 2025-08-18 | Anup Patel | MAINTAINERS: Add entry for RISC-V RPMI and MPXY drivers
a5d9a135 | 2025-08-18 | Anup Patel | RISC-V: Enable GPIO keyboard and event device in RV64 defconfig
c76f43e3 | 2025-08-18 | Sunil V L | irqchip/riscv-rpmi-sysmsi: Add ACPI support
16d85c74 | 2025-08-18 | Sunil V L | mailbox/riscv-sbi-mpxy: Add ACPI support
2e75a7db | 2025-08-18 | Sunil V L | irqchip/irq-riscv-imsic-early: Export imsic_acpi_get_fwnode()
