# 算能 提交列表（纯文本视图）
# 共 98 个提交
# 生成时间: 2026-08-05 22:11:45
#
# 格式: 提交哈希 | 日期 | 原始作者 | 标题
------------------------------------------------------------------------------------------------------------------------
a3768d6b | 2025-01-08 | Jingyu Li | drivers: Add ACPI support for thead-c900-aclint-sswi
1218e6c6 | 2024-10-31 | Inochi Amaoto | irqchip: Add T-HEAD C900 ACLINT SSWI driver
218ac61a | 2024-10-31 | Inochi Amaoto | dt-bindings: interrupt-controller: Add T-HEAD C900 ACLINT SSWI device
f1493423 | 2024-02-14 | Michal Wajdeczko | lib/string_choices: Add str_plural() helper
6eef9593 | 2024-01-18 | Sunil V L | ACPI: Enable ACPI_PROCESSOR for RISC-V
a0b04b7d | 2024-01-18 | Sunil V L | ACPI: RISC-V: Add LPI driver
6b7c4d89 | 2025-04-22 | haijiao.liu | drivers: spi: Add ACPI support for Sophgo SPI Controller
ba4690ce | 2025-04-22 | haijiao.liu | drivers: i2c: Add ACPI support for Sophgo I2C Controller
61ff4f9a | 2025-05-07 | haijiao.liu | irqchip: Add Sophgo SG2044 MSI controller driver
399c44aa | 2025-04-16 | haijiao.liu | serial/8250_dw: Add ACPI ID for SG2044 UART
8d5fc866 | 2023-10-18 | Sunil V L | RISC-V: cacheflush: Initialize CBO variables on ACPI systems
8e5ebe86 | 2023-10-18 | Sunil V L | RISC-V: ACPI: RHCT: Add function to get CBO block sizes
da9a5469 | 2023-10-18 | Sunil V L | RISC-V: ACPI: Update the return value of acpi_get_rhct()
a4977cb9 | 2023-10-18 | Sunil V L | RISC-V: ACPI: Enhance acpi_os_ioremap with MMIO remapping
0e7c715e | 2023-09-27 | Sunil V L | clocksource/timer-riscv: ACPI: Add timer_cannot_wakeup_cpu
aaabb09f | 2024-10-14 | Sunil V L | irqchip/riscv-intc: Fix SMP=n boot with ACPI
1eaa3cdc | 2024-08-27 | Sunil V L | irqchip/sifive-plic: Add ACPI support
4d39e7bd | 2024-08-12 | Sunil V L | irqchip/riscv-aplic: Add ACPI support
e3d44427 | 2024-08-12 | Sunil V L | irqchip/riscv-imsic: Add ACPI support
2e94eb13 | 2024-08-12 | Sunil V L | irqchip/riscv-imsic-state: Create separate function for DT
58828483 | 2024-08-12 | Sunil V L | irqchip/riscv-intc: Add ACPI support for AIA
6b25e132 | 2024-08-12 | Sunil V L | ACPI: RISC-V: Implement function to add implicit dependencies
fa7b0a53 | 2024-08-12 | Sunil V L | ACPI: RISC-V: Initialize GSI mapping structures
0fad95c1 | 2024-08-12 | Sunil V L | ACPI: RISC-V: Implement function to reorder irqchip probe entries
747ce09c | 2024-08-12 | Sunil V L | ACPI: RISC-V: Implement PCI related functionality
87368d16 | 2024-08-12 | Sunil V L | ACPI: pci_link: Clear the dependencies after probe
157b0b2e | 2024-08-12 | Sunil V L | ACPI: bus: Add RINTC IRQ model for RISC-V
53916be9 | 2024-08-12 | Sunil V L | ACPI: scan: Define weak function to populate dependencies
62d091e6 | 2024-08-12 | Sunil V L | ACPI: scan: Add RISC-V interrupt controllers to honor list
d1e559af | 2024-08-12 | Sunil V L | ACPI: scan: Refactor dependency creation
8be9e2cf | 2023-12-08 | Rafael J. Wysocki | ACPI: utils: Fix white space in struct acpi_handle_list definition
139b2b64 | 2023-12-08 | Rafael J. Wysocki | ACPI: utils: Refine acpi_handle_list_equal() slightly
754f8fec | 2023-12-08 | Rafael J. Wysocki | ACPI: utils: Return bool from acpi_evaluate_reference()
f47b41da | 2023-12-08 | Rafael J. Wysocki | ACPI: utils: Rearrange in acpi_evaluate_reference()
fdda9505 | 2023-12-07 | Rafael J. Wysocki | ACPI: utils: Fix error path in acpi_evaluate_reference()
9126642e | 2023-09-27 | Rafael J. Wysocki | ACPI: utils: Dynamically determine acpi_handle_list size
143eea82 | 2023-11-06 | Rafael J. Wysocki | ACPI: scan: Extract CSI-2 connection graph from _CRS
93e7b910 | 2024-08-12 | Sunil V L | ACPI: bus: Add acpi_riscv_init() function
88d6797f | 2024-08-12 | Sunil V L | ACPI: scan: Add a weak arch_sort_irqchip_probe() to order the IRQCHIP probe
dc107759 | 2024-08-12 | Sunil V L | arm64: PCI: Migrate ACPI related functions to pci-acpi.c
124400d4 | 2024-08-20 | Anup Patel | irqchip/sifive-plic: Probe plic driver early for Allwinner D1 platform
79035345 | 2024-05-29 | Samuel Holland | irqchip/sifive-plic: Chain to parent IRQ after handlers are ready
89fc78a1 | 2024-04-16 | Dawei Li | irqchip/sifive-plic: Avoid explicit cpumask allocation on stack
64caa720 | 2024-02-22 | Anup Patel | irqchip/sifive-plic: Improve locking safety by using irqsave/irqrestore
7e7d5090 | 2024-02-22 | Anup Patel | irqchip/sifive-plic: Parse number of interrupts and contexts early in plic_probe()
81fb318a | 2024-02-22 | Anup Patel | irqchip/sifive-plic: Cleanup PLIC contexts upon irqdomain creation failure
bb982547 | 2024-02-22 | Anup Patel | irqchip/sifive-plic: Use riscv_get_intc_hwnode() to get parent fwnode
654be2f1 | 2024-02-22 | Anup Patel | irqchip/sifive-plic: Use devm_xyz() for managed allocation
320901a4 | 2024-02-22 | Anup Patel | irqchip/sifive-plic: Use dev_xyz() in-place of pr_xyz()
