# 超睿科技 提交列表（纯文本视图）
# 共 89 个提交
# 生成时间: 2026-06-12 06:00:37
#
# 格式: 提交哈希 | 日期 | 原始作者 | 标题
------------------------------------------------------------------------------------------------------------------------
6da21674 | 2024-01-06 | Sun Haiyong | perf tools: Fix calloc() arguments to address error introduced in gcc-14
89577aae | 2023-12-04 | Sun Haiyong | perf top: Remove needless malloc(0) call that triggers -Walloc-size
c2a94a79 | 2024-07-19 | Eric Lin | perf arch events: Fix duplicate RISC-V SBI firmware event name
c6068e5e | 2023-09-12 | Benjamin Gray | perf tools: Address python 3.6 DeprecationWarning for string scapes
5a3f5b96 | 2026-01-13 | Jia Wang | dt-bindings: hwmon: ultrarisc,dp1000-pvt.yaml: add Add a blank line at the end of the file.
31017378 | 2026-01-08 | Jia Wang | riscv: dts: ultrarisc: remove 'bootargs' property in 'chosen'
2cbf3998 | 2026-01-06 | Jia Wang | riscv: dts: ultrarisc: Update pcie and gmac compatible strings
3936bb88 | 2025-12-29 | Jia Wang | PCI: dwc: ultrarisc: Update compatible string for DP1000 SoC
8c958649 | 2026-01-08 | Jia Wang | riscv: dts: ultrarisc: Add model and compatible properties
55840b73 | 2026-01-08 | Jia Wang | riscv: dts: dp1000-titan-v1: add phy leds support
adf3f97f | 2024-09-27 | Hui Wang | net: phy: realtek: Check the index value in led_hw_control_get
6b069e7b | 2024-06-12 | Lee Jones | leds: core: Omit set_brightness error message for a LED supporting hw trigger only
601079b3 | 2024-08-21 | Sava Jakovljev | net: phy: realtek: Fix setting of PHY LEDs Mode B bit on RTL8211F
405f42e2 | 2024-06-25 | Marek Vasut | net: phy: realtek: Add support for PHY LEDs on RTL8211F
43d1c994 | 2024-01-31 | Heiner Kallweit | leds: triggers: Add helper led_match_default_trigger
1c38e44c | 2024-01-31 | Heiner Kallweit | leds: trigger: Stop exporting trigger_list
78190469 | 2023-12-09 | Heiner Kallweit | leds: trigger: panic: Simplify led_trigger_set_panic
