# 软件所 提交列表（纯文本视图）
# 共 265 个提交
# 生成时间: 2026-05-20 02:50:53
#
# 格式: 提交哈希 | 日期 | 原始作者 | 标题
------------------------------------------------------------------------------------------------------------------------
136df7a4 | 2026-02-02 | Jiakai Xu | RISC-V: KVM: Fix use-after-free in kvm_riscv_gstage_get_leaf()
93210af3 | 2024-10-15 | Quan Zhou | riscv: KVM: add basic support for host vs guest profiling
d02d233e | 2024-10-15 | Quan Zhou | riscv: perf: add guest vs host distinction
f4f56a3a | 2026-03-30 | jichuan Feng | riscv: k1: add OrangePi RV2 device tree
d358c295 | 2026-03-30 | jichuan Feng | riscv: k1: add Milk-V Jupiter device tree
bd235b46 | 2026-03-30 | jichuan Feng | riscv: k1: add MUSE Pi device tree
f1001a9c | 2026-03-24 | jichuan Feng | riscv: k1: add MUSE Pi Pro device tree
22c577c1 | 2025-08-08 | Quan Zhou | KVM: riscv: selftests: Add Zicbop extension to get-reg-list test
f3e8fec5 | 2025-08-08 | Quan Zhou | RISC-V: KVM: Allow bfloat16 extension for Guest/VM
34f4f119 | 2025-08-08 | Quan Zhou | RISC-V: KVM: Allow Zicbop extension for Guest/VM
83f1f47d | 2025-08-08 | Quan Zhou | RISC-V: KVM: Provide UAPI for Zicbop block size
819c0d3a | 2025-08-08 | Quan Zhou | RISC-V: KVM: Change zicbom/zicboz block size to depend on the host isa
94890931 | 2025-11-19 | Yao Zihong | riscv: hwprobe: Expose Zicbop extension and its block size
c02b2114 | 2025-12-11 | Mingzheng Xing | th1520-i2s: Fix kernel panic when reading sysfs registers
a5e144ed | 2025-02-26 | Yunhui Cui | RISC-V: hwprobe: Expose Zicbom extension and its block size
a2503c96 | 2024-09-13 | Miquel Sabaté Solà | riscv: hwprobe: export Zicntr and Zihpm extensions
cc3436a0 | 2024-12-24 | Quan Zhou | RISC-V: KVM: Redirect instruction access fault trap to guest
c5430ca3 | 2023-10-05 | Benjamin Tissoires | selftests/hid: force using our compiled libbpf headers
4c1c678c | 2023-10-05 | Benjamin Tissoires | selftests/hid: do not manually call headers_install
170592ed | 2023-10-05 | Benjamin Tissoires | selftests/hid: ensure we can compile the tests on kernels pre-6.3
2e980b6c | 2024-12-02 | Quan Zhou | RISC-V: KVM: Allow Ziccrse extension for Guest/VM
b303a0af | 2024-12-02 | Quan Zhou | RISC-V: KVM: Allow Zabha extension for Guest/VM
c7de3ab0 | 2024-12-02 | Quan Zhou | RISC-V: KVM: Allow Svvptc extension for Guest/VM
ff6b5220 | 2023-10-12 | Björn Töpel | riscv, qemu_fw_cfg: Add support for RISC-V architecture
d0e0c98c | 2025-08-19 | Yafen Fang | xuantie: nna: select SYNC_FILE
377f9804 | 2024-02-22 | Yu Chien Peter Lin | riscv: errata: Rename defines for Andes
f1ddd8eb | 2024-11-03 | Alexandre Ghiti | riscv: Move cpufeature.h macros into their own header
d969ba45 | 2024-07-19 | Charlie Jenkins | riscv: cpufeature: Extract common elements from extension checking
15fc05f0 | 2024-07-19 | Charlie Jenkins | riscv: Introduce vendor variants of extension helpers
def09dad | 2024-07-17 | Conor Dooley | RISC-V: hwprobe: sort EXT_KEY()s in hwprobe_isa_ext0() alphabetically
f1b2b005 | 2024-10-16 | Samuel Holland | riscv: hwprobe: Export the Supm ISA extension
08232eb7 | 2024-07-02 | Palmer Dabbelt | RISC-V: Provide the frequency of time CSR via hwprobe
91fed082 | 2024-04-26 | Andrew Jones | riscv: hwprobe: export Zawrs ISA extension
ed4bc13d | 2024-04-10 | Clément Léger | riscv: hwprobe: export highest virtual userspace address
7c763ba4 | 2024-06-19 | Clément Léger | riscv: hwprobe: export Zcmop ISA extension
5c8800c3 | 2024-06-19 | Clément Léger | riscv: hwprobe: export Zca, Zcf, Zcd and Zcb ISA extensions
94183391 | 2024-06-19 | Clément Léger | riscv: hwprobe: export Zimop ISA extension
68cfc21c | 2024-05-10 | Andy Chiu | riscv: hwprobe: add zve Vector subextensions into hwprobe interface
35322e6c | 2024-02-21 | Clément Léger | riscv: hwprobe: export Zihintpause ISA extension
9da8363f | 2023-11-22 | Andrew Jones | RISC-V: Move the hwprobe syscall to its own file
48da1af8 | 2024-04-09 | Clément Léger | riscv: hwprobe: fix invalid sign extension for RISCV_HWPROBE_EXT_ZVFHMIN
fb251344 | 2023-12-20 | Clément Léger | riscv: hwprobe: export Zicond extension
a5d341d8 | 2023-12-20 | Clément Léger | riscv: hwprobe: export Zacas ISA extension
0c766bfa | 2023-12-20 | Clément Léger | riscv: hwprobe: export Ztso ISA extension
7ab07364 | 2023-11-22 | Andrew Jones | RISC-V: hwprobe: Introduce which-cpus flag
f7269f27 | 2023-11-22 | Andrew Jones | RISC-V: hwprobe: Clarify cpus size parameter
336ae5fa | 2023-09-18 | Andrew Jones | RISC-V: selftests: Add CBO tests
51b46e28 | 2023-09-18 | Andrew Jones | RISC-V: selftests: Convert hwprobe test to kselftest API
8abbe76e | 2023-09-18 | Andrew Jones | RISC-V: selftests: Statically link hwprobe test
9e8087a4 | 2023-11-14 | Clément Léger | riscv: hwprobe: export Zfa ISA extension
6053320f | 2023-11-14 | Clément Léger | riscv: hwprobe: export Zvfh[min] ISA extensions
005f0931 | 2023-11-14 | Clément Léger | riscv: hwprobe: export Zhintntl ISA extension
be3f7b09 | 2023-11-14 | Clément Léger | riscv: hwprobe: export Zfh[min] ISA extensions
413f8303 | 2023-11-14 | Clément Léger | riscv: hwprobe: export vector crypto ISA extensions
7426cd65 | 2023-11-14 | Clément Léger | riscv: hwprobe: add support for scalar crypto ISA extensions
880bb7bf | 2023-11-14 | Clément Léger | riscv: hwprobe: export missing Zbc ISA extension
04792d5c | 2023-09-30 | Costa Shulyupin | docs: move riscv under arch
91b0dd75 | 2023-09-18 | Andrew Jones | RISC-V: hwprobe: Expose Zicboz extension and its block size
c47def87 | 2024-07-26 | Yong-Xuan Wang | RISC-V: Add Svade and Svadu Extensions Support
995ee3e0 | 2024-11-03 | Alexandre Ghiti | riscv: Add ISA extension parsing for Ziccrse
370afea2 | 2024-11-03 | Alexandre Ghiti | riscv: Implement cmpxchg8/16() using Zabha
ae0b9d1e | 2024-11-03 | Alexandre Ghiti | riscv: Implement cmpxchg32/64() using Zacas
6ea505b9 | 2024-11-03 | Alexandre Ghiti | riscv: Do not fail to build on byte/halfword operations with Zawrs
5c43426c | 2024-10-16 | Samuel Holland | riscv: Add ISA extension parsing for pointer masking
59858f16 | 2024-08-14 | Samuel Holland | riscv: Call riscv_user_isa_enable() only on the boot hart
4b6087ea | 2024-08-14 | Samuel Holland | riscv: Enable cbo.zero only when all harts support Zicboz
ee894d55 | 2024-03-12 | Samuel Holland | riscv: Do not save the scratch CSR during suspend
f941275a | 2024-01-18 | Sunil V L | cpuidle: RISC-V: Move few functions to arch/riscv
61add481 | 2024-02-27 | Samuel Holland | riscv: Save/restore envcfg CSR during CPU suspend
1ac7143c | 2024-07-17 | Alexandre Ghiti | riscv: Add ISA extension parsing for Svvptc
7266aa6b | 2024-07-18 | Samuel Holland | riscv: cpufeature: Do not drop Linux-internal extensions
3ca0c706 | 2024-07-19 | Charlie Jenkins | riscv: Extend cpufeature.c to detect vendor extensions
9be35b4a | 2024-04-26 | Andrew Jones | riscv: Provide a definition for 'pause'
702e4421 | 2024-04-26 | Christoph Müllner | riscv: Add Zawrs support for spinlocks
c481b1a8 | 2024-05-30 | Alexandre Ghiti | riscv: Fix fully ordered LR/SC xchg[8|16]() implementations
bd904b88 | 2024-03-25 | Jisheng Zhang | riscv: cmpxchg: implement arch_cmpxchg64_{relaxed|acquire|release}
58556bd0 | 2024-01-03 | Leonardo Bras | riscv/cmpxchg: Implement xchg for variables of size 1 and 2
1fefa224 | 2024-01-03 | Leonardo Bras | riscv/cmpxchg: Implement cmpxchg for variables of size 1 and 2
0372b0f3 | 2024-01-03 | Leonardo Bras | riscv/cmpxchg: Deduplicate cmpxchg() asm and macros
14e47a56 | 2024-01-03 | Leonardo Bras | riscv/cmpxchg: Deduplicate xchg() asm functions
7cae162c | 2024-02-17 | Eric Chan | riscv/barrier: Consolidate fence definitions
fa6b58f5 | 2024-02-17 | Eric Chan | riscv/barrier: Define RISCV_FULL_BARRIER
9b617a12 | 2024-06-19 | Clément Léger | riscv: add ISA extension parsing for Zcmop
1b901f0d | 2024-06-19 | Clément Léger | riscv: add ISA parsing for Zca, Zcf, Zcd and Zcb
a34c20cb | 2024-06-19 | Clément Léger | riscv: add ISA extensions validation callback
1154fd17 | 2024-06-19 | Clément Léger | riscv: add ISA extension parsing for Zimop
11c5d717 | 2024-05-10 | Andy Chiu | riscv: vector: adjust minimum Vector requirement to ZVE32X
41dc186a | 2024-05-10 | Andy Chiu | riscv: cpufeature: add zve32[xf] and zve64[xfd] isa detection
c902cf72 | 2024-02-22 | Yu Chien Peter Lin | perf: RISC-V: Introduce Andes PMU to support perf event sampling
7777e5d6 | 2024-02-22 | Yu Chien Peter Lin | perf: RISC-V: Eliminate redundant interrupt enable/disable operations
10906feb | 2024-05-10 | Andy Chiu | riscv: cpufeature: call match_isa_ext() for single-letter extensions
924f731d | 2024-05-10 | Andy Chiu | riscv: vector: add a comment when calling riscv_setup_vsize()
1a3296d4 | 2024-05-02 | Charlie Jenkins | riscv: cpufeature: Fix extension subset checking
1f025b69 | 2024-02-27 | Samuel Holland | riscv: Add a custom ISA extension for the [ms]envcfg CSR
15fe15ec | 2023-12-20 | Clément Léger | riscv: add ISA extension parsing for Zacas
ea40e2bc | 2023-12-20 | Clément Léger | riscv: add ISA extension parsing for Ztso
7408861c | 2023-11-10 | Palmer Dabbelt | RISC-V: Remove the removed single-letter extensions
5faa6a56 | 2023-11-14 | Clément Léger | riscv: add ISA extension parsing for Zfa
8905e3f0 | 2023-11-14 | Clément Léger | riscv: add ISA extension parsing for Zvfh[min]
402caac1 | 2023-11-14 | Clément Léger | riscv: add ISA extension parsing for Zihintntl
268b672a | 2023-11-14 | Clément Léger | riscv: add ISA extension parsing for Zfh/Zfh[min]
77746e51 | 2023-11-14 | Clément Léger | riscv: add ISA extension parsing for vector crypto
41f94156 | 2023-11-14 | Evan Green | riscv: add ISA extension parsing for scalar crypto
1f231559 | 2023-10-04 | Clément Léger | riscv: annotate check_unaligned_access_boot_cpu() with __init
153232f6 | 2023-07-26 | Tsukasa OI | RISC-V: clarify the QEMU workaround in ISA parser
9c71ebaf | 2023-10-31 | Xiao Wang | riscv: Rearrange hwcap.h and cpufeature.h
2031d8bb | 2023-11-14 | Clément Léger | riscv: add ISA extension parsing for Zbc
3c36454d | 2023-09-15 | Anup Patel | RISC-V: Detect Zicond from ISA string
81468286 | 2024-11-13 | Mingzheng Xing | th1520: npu: fix build error
ba719793 | 2024-04-11 | Anup Patel | RISC-V: KVM: Use IMSIC guest files when available
f0b1b2cd | 2024-04-11 | Anup Patel | RISC-V: KVM: Share APLIC and IMSIC defines with irqchip drivers
4ea13eed | 2025-02-12 | Mingzheng Xing | riscv: Kconfig: Enable amdkfd driver config
747231ad | 2025-01-10 | Mingzheng Xing | kconfig: fix kernel-mode FPU support
d3f35db0 | 2024-03-07 | Anup Patel | MAINTAINERS: Add entry for RISC-V AIA drivers
285a47a3 | 2024-03-07 | Anup Patel | RISC-V: Select APLIC and IMSIC drivers
c06e4163 | 2024-11-14 | Samuel Holland | irqchip/riscv-aplic: Prevent crash when MSI domain is missing
c686b0fa | 2024-08-09 | Yong-Xuan Wang | irqchip/riscv-aplic: Retrigger MSI interrupt on source configuration
9ad0acfc | 2024-06-03 | Jinjie Ruan | irqchip/riscv-aplic: Simplify the initialization code
9bf81a46 | 2024-04-16 | Dawei Li | irqchip/riscv-aplic-direct: Avoid explicit cpumask allocation on stack
66c4eea3 | 2024-04-16 | Dawei Li | cpumask: Introduce cpumask_first_and_and()
af05e08e | 2024-03-07 | Anup Patel | irqchip/riscv-aplic: Add support for MSI-mode
851b30de | 2024-08-20 | Dan Carpenter | irqchip/riscv-aplic: Fix an IS_ERR() vs NULL bug in probe()
474d2923 | 2024-03-07 | Anup Patel | irqchip: Add RISC-V advanced PLIC driver for direct-mode
16b7b4ae | 2024-03-07 | Anup Patel | dt-bindings: interrupt-controller: Add RISC-V advanced PLIC
892dfe08 | 2024-03-07 | Anup Patel | irqchip/riscv-imsic: Add device MSI domain support for PCI devices
11185835 | 2024-09-09 | Andrew Jones | irqchip/riscv-imsic: Fix output text of base address
f65ce66f | 2024-04-13 | Anup Patel | irqchip/riscv-imsic: Fix boot time update effective affinity warning
00a0cd91 | 2024-03-07 | Anup Patel | irqchip/riscv-imsic: Add device MSI domain support for platform devices
7cf6579f | 2024-03-07 | Anup Patel | irqchip: Add RISC-V incoming MSI controller early driver
62d0b339 | 2024-03-07 | Anup Patel | dt-bindings: interrupt-controller: Add RISC-V incoming MSI controller
faf1939e | 2024-02-22 | Björn Töpel | genirq/matrix: Dynamic bitmap allocation
bf58ca9d | 2024-03-12 | Samuel Holland | irqchip/riscv-intc: Fix use of AIA interrupts 32-63 on riscv32
2aa05c4e | 2024-02-26 | Anup Patel | irqchip/riscv-intc: Fix low-level interrupt handler setup for AIA
eb5ed7d3 | 2024-02-22 | Anup Patel | irqchip/riscv-intc: Add support for RISC-V AIA
90b2bbe8 | 2023-12-20 | Jisheng Zhang | riscv: enable HAVE_FAST_GUP if MMU
ccddfd86 | 2023-12-20 | Jisheng Zhang | riscv: enable MMU_GATHER_RCU_TABLE_FREE for SMP && MMU
cae4afdc | 2023-12-20 | Jisheng Zhang | riscv: tlb: convert __p*d_free_tlb() to inline functions
46144f02 | 2023-12-20 | Jisheng Zhang | riscv: tlb: fix __p*d_free_tlb()
a2458b58 | 2023-09-13 | Mayuresh Chitale | dt-bindings: riscv: Add smstateen entry
33a5ae45 | 2023-09-13 | Mayuresh Chitale | RISC-V: Detect Smstateen extension
487441e3 | 2024-01-27 | Thomas Gleixner | genirq/msi: Provide MSI_FLAG_PARENT_PM_DEV
ad5834f3 | 2024-01-27 | Thomas Gleixner | genirq/irqdomain: Reroute device MSI create_mapping
086ec9d2 | 2024-01-27 | Thomas Gleixner | genirq/msi: Provide allocation/free functions for "wired" MSI interrupts
20cb9d47 | 2024-01-27 | Thomas Gleixner | genirq/msi: Optionally use dev->fwnode for device domain
33314d08 | 2024-01-27 | Thomas Gleixner | genirq/msi: Provide DOMAIN_BUS_WIRED_TO_MSI
467e0207 | 2024-01-27 | Thomas Gleixner | genirq/msi: Split msi_domain_alloc_irq_at()
62d80742 | 2024-02-20 | Marc Zyngier | genirq/irqdomain: Don't call ops->select for DOMAIN_BUS_ANY tokens
c2d9354d | 2024-01-27 | Thomas Gleixner | genirq/msi: Provide optional translation op
6607ed51 | 2024-02-15 | Thomas Gleixner | platform-msi: Remove unused interfaces
43109d5b | 2024-01-27 | Thomas Gleixner | irqchip: Convert all platform MSI users to the new API
84db0551 | 2024-01-27 | Thomas Gleixner | platform-msi: Prepare for real per device domains
8921022e | 2024-01-27 | Thomas Gleixner | genirq/irqdomain: Add DOMAIN_BUS_DEVICE_MSI
