# 进迭时空 提交列表（纯文本视图）
# 共 134 个提交
# 生成时间: 2026-06-12 06:00:37
#
# 格式: 提交哈希 | 日期 | 原始作者 | 标题
------------------------------------------------------------------------------------------------------------------------
424fc1f0 | 2026-02-04 | Zhang Meng | driver: clk: k3: keep some system based clock always on
2e26c372 | 2026-01-21 | Zhang Meng | riscv: k3: config: enable some modules for spacemit k3
dd83296a | 2026-01-21 | Zhang Meng | riscv: defconfig: make CONFIG_REGULATOR_FIXED_VOLTAGE builtin
336e4251 | 2026-01-21 | Zhang Meng | riscv: dts: k3: enable sdhci support
161f49bb | 2026-01-21 | Zhang Meng | mmc: k1: update driver for spacemit k3 supporting
dadabf9e | 2026-01-21 | Zhang Meng | riscv: dts: k3: enable ethernet for spacemit k3
6daaa414 | 2026-01-21 | Zhang Meng | net: k3: support emac controller in spacemit k3 soc
6c7b291d | 2026-01-21 | Zhang Meng | riscv: dts: k3: add pmic and power tree support
173f7eeb | 2026-01-21 | Zhang Meng | riscv: dts: k3: add board Com260-Kit of spacemit support
2a994b85 | 2026-01-21 | Zhang Meng | riscv: dts: k3: add i2cs description for spacemit k3
000b6cb1 | 2026-01-21 | Zhang Meng | riscv: dts: k3: add gpio description for spacemit k3
ece72064 | 2026-01-21 | Zhang Meng | gpio: k3: add k3 gpio support
64cfaa13 | 2026-01-21 | Zhang Meng | riscv: dts: k3: add pinctrl description
5727f399 | 2026-01-21 | Zhang Meng | pinctrl: k3: add k3 pinctrl support
373ac79a | 2026-01-21 | Zhang Meng | driver: reset: fix issues in the k3 reset
87e5d284 | 2026-01-21 | Zhang Meng | riscv: dts: k3: fix issues in clock defines
463b349e | 2026-01-21 | Zhang Meng | driver: clk: fix issues in the clock driver
00031896 | 2026-01-21 | Zhang Meng | dt-bindings: soc: spacemit: fix errors in clocks define
af8839f2 | 2026-01-19 | zhangmeng | riscv: dts: Fix the clock missing issue
e1ddee69 | 2026-01-19 | zhangmeng | mmc: k1: fix the bug that mmc driver is mismatched with clk driver
45ddd403 | 2026-01-19 | zhangmeng | i2c: k1: fix clk driver mismatch issue
1e48a5d0 | 2026-01-19 | zhangmeng | gpio: k1: fix clk driver mismatch issue
931442e6 | 2026-01-19 | zhangmeng | pinctrl: k1: fix clk driver mismatch issue
6985d839 | 2025-11-28 | Zhang Meng | riscv: defconfig: enable spacemit k3 soc
629b3a78 | 2025-11-26 | Zhang Meng | riscv: dts: enable uart0 for spacemit k3
5f4e0774 | 2025-11-26 | Zhang Meng | riscv: dts: add clock tree related representations
593118d8 | 2025-11-26 | Zhang Meng | riscv: k3: config: enable clock and reset for spacemit k3
37269224 | 2025-11-26 | Zhang Meng | reset: spacemit: add support for SpacemiT K3 CCU resets
49073794 | 2025-11-26 | Zhang Meng | driver: clk: add spacemit k3 clk driver support
c735f634 | 2025-11-25 | Zhang Meng | riscv: k3: add spacemit k3 soc support
4bc14206 | 2025-11-26 | Zhang Meng | driver: clk: use the mainline clock and reset driver for spacemit k1
54bcbe4c | 2025-07-02 | Alex Elder | reset: spacemit: add support for SpacemiT CCU resets
f6d2f007 | 2025-09-11 | Troy Mitchell | clk: spacemit: fix i2s clock
33c31b72 | 2025-09-11 | Troy Mitchell | dt-bindings: clock: spacemit: introduce i2s pre-clock to fix i2s clock
83779ad9 | 2025-08-11 | Brian Masney | clk: spacemit: ccu_pll: convert from round_rate() to determine_rate()
996d63f7 | 2025-08-11 | Brian Masney | clk: spacemit: ccu_mix: convert from round_rate() to determine_rate()
4d8f3943 | 2025-08-11 | Brian Masney | clk: spacemit: ccu_ddn: convert from round_rate() to determine_rate()
b1405ee1 | 2025-08-11 | Troy Mitchell | clk: spacemit: fix sspax_clk
82b13870 | 2025-08-11 | Troy Mitchell | dt-bindings: clock: spacemit: CLK_SSPA_I2S_BCLK for SSPA
94062769 | 2025-07-23 | Akhilesh Patil | clk: spacemit: ccu_pll: fix error return value in recalc_rate callback
db3d603b | 2025-06-12 | Alex Elder | clk: spacemit: mark K1 pll1_d8 as critical
05cd51dc | 2025-07-02 | Alex Elder | clk: spacemit: define three reset-only CCUs
ce0993b5 | 2025-07-02 | Alex Elder | clk: spacemit: set up reset auxiliary devices
07827737 | 2025-07-02 | Alex Elder | soc: spacemit: create a header for clock/reset registers
dfa426a9 | 2025-07-02 | Alex Elder | dt-bindings: soc: spacemit: define spacemit,k1-ccu resets
f9630632 | 2025-04-16 | Haylen Chu | clk: spacemit: k1: Add TWSI8 bus and function clocks
d74a92bb | 2025-04-16 | Haylen Chu | clk: spacemit: Add clock support for SpacemiT K1 SoC
f76e1be3 | 2025-04-16 | Haylen Chu | dt-bindings: clock: spacemit: Add spacemit,k1-pll
2e68f1ad | 2025-04-16 | Haylen Chu | dt-bindings: soc: spacemit: Add spacemit,k1-syscon
8b42a99a | 2025-11-24 | Zhang Meng | driver: clk: remove the obsolete clk driver of spacemit k1
195b18f4 | 2025-11-24 | Zhang Meng | riscv: defconfig: enable CONFIG_RISCV_ISA_ZICBOM for support non-coherent dma
aa6f0276 | 2025-11-24 | Zhang Meng | riscv: defconfig: unified naming for k1 chip
50829ae2 | 2025-11-24 | Zhang Meng | riscv: kconfig: unified naming for k1 chip
d1b111de | 2025-11-22 | Zhang Meng | riscv: kconfig.socs: delete the unused k1x definition
64d92ae2 | 2025-11-23 | Zhang Meng | riscv: dts: unified naming for k1 chip
e38b78ce | 2025-11-23 | Zhang Meng | driver: ethernet: unified naming for k1 chip
10a93446 | 2025-11-23 | Zhang Meng | driver: dma: unified naming for k1 chip
067ac6de | 2025-11-23 | Zhang Meng | driver: i2c: unified naming for k1 chip
7bc04248 | 2025-11-23 | Zhang Meng | driver: spi: unified naming for k1 chip
f26468fd | 2025-11-22 | Zhang Meng | driver: gpio: Unified naming for k1 chip
74f61af8 | 2025-11-22 | Zhang Meng | driver: pinctrl: Unified naming for k1 chip
6157a4cc | 2025-11-22 | Zhang Meng | driver: reset: Unified naming for k1 chip
e1c1d3ab | 2025-11-22 | Zhang Meng | driver: clk: Unified naming for k1 chip
ccc8a5c6 | 2025-11-22 | Zhang Meng | riscv: k1: dts: change uart driver to 8250_of with compaible 'intel,xscale-uart'
74bb6876 | 2025-11-22 | Zhang Meng | serial: k1: remove k1 uart driver
